"Domain Name","Bidders","Minimum Bid","Order By","Status","",""
"020bzd.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"020bzf.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"020camp.com","0","277","Feb 3, 2022 12:15:00 PM","Buy It Now","","",
"020chi.com","0","79","Nov 30, 2021 9:00:00 PM","Available Soon","","",
"020education.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"020express.com","0","79","Dec 11, 2021 9:00:00 PM","Available Soon","","",
"020face.com","0","79","Dec 11, 2021 9:00:00 PM","Available Soon","","",
"020fushi.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"020g2000.com","0","79","Dec 6, 2021 9:00:00 PM","Available Soon","","",
"020gayw.org","-","79","Dec 1, 2021 4:45:00 AM","Available Soon","","",
"020gcjxpj.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"020gzsw.com","0","79","Dec 14, 2021 9:00:00 PM","Available Soon","","",
"020hdtv.com","0","79","Nov 29, 2021 9:00:00 PM","Available Soon","","",
"020hqz.com","0","79","Dec 15, 2021 9:00:00 PM","Available Soon","","",
"020huahao.com","0","79","Dec 18, 2021 9:00:00 PM","Available Soon","","",
"020huaxun.net","0","377","May 18, 2022 12:15:00 PM","Buy It Now","","",
"020jhjx.com","0","79","Dec 8, 2021 9:00:00 PM","Available Soon","","",
"020jiadian.net","0","79","Dec 9, 2021 9:00:00 PM","Available Soon","","",
"020jin.com","0","79","Dec 13, 2021 9:00:00 PM","Available Soon","","",
"020kbl.com","0","79","Dec 8, 2021 9:00:00 PM","Available Soon","","",
"020le.com","0","79","Dec 4, 2021 9:00:00 PM","Available Soon","","",
"020mi.com","0","277","Feb 11, 2022 12:15:00 PM","Buy It Now","","",
"020mn.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"020peoplenew.com","0","377","May 16, 2022 12:15:00 PM","Buy It Now","","",
"020pgj.com","0","79","Dec 16, 2021 9:00:00 PM","Available Soon","","",
"020productions.com","0","277","Mar 6, 2022 12:15:00 PM","Buy It Now","","",
"020quanquan.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"020server.com","0","79","Dec 15, 2021 9:00:00 PM","Available Soon","","",
"020stv.com","0","277","Dec 12, 2021 12:15:00 PM","Buy It Now","","",
"020support.org","-","79","Nov 30, 2021 4:45:00 AM","Available Soon","","",
"020tuan.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"020vin.com","0","277","Jan 23, 2022 12:15:00 PM","Buy It Now","","",
"020voip.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"020xinhai.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"020xshls.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"020yuesen.com","0","79","Nov 27, 2021 9:00:00 PM","Available Soon","","",
"020yuyu.com","0","79","Dec 18, 2021 9:00:00 PM","Available Soon","","",
"020yxjcj.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"020zenggao.net","0","377","May 18, 2022 12:15:00 PM","Buy It Now","","",
"020zfc.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"020zfyc.com","0","79","Dec 6, 2021 9:00:00 PM","Available Soon","","",
"020zsc.com","0","79","Dec 2, 2021 9:00:00 PM","Available Soon","","",
"020zxc.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"021-gamers.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"021-hunyin.com","0","277","Dec 17, 2021 12:15:00 PM","Buy It Now","","",
"021-play.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"021-zhidi.com","0","79","Dec 18, 2021 9:00:00 PM","Available Soon","","",
"021028.com","0","277","Mar 29, 2022 12:15:00 PM","Buy It Now","","",
"021034.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"0210365.com","0","277","Mar 8, 2022 12:15:00 PM","Buy It Now","","",
"021068.com","-","79","Dec 17, 2021 9:00:00 PM","Available Soon","","",
"02111999.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"0211858.com","0","277","Dec 16, 2021 12:15:00 PM","Buy It Now","","",
"021186.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"021198.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"0211gamers.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"021233.com","0","277","May 9, 2022 12:15:00 PM","Buy It Now","","",
"021275.com","0","377","May 15, 2022 12:15:00 PM","Buy It Now","","",
"021285.com","0","777","Sep 4, 2022 12:15:00 PM","Buy It Now","","",
"021286.com","0","377","Feb 26, 2022 12:15:00 PM","Buy It Now","","",
"021316.com","0","277","Dec 23, 2021 12:15:00 PM","Buy It Now","","",
"021328.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"0213999.com","0","277","Jan 19, 2022 12:15:00 PM","Buy It Now","","",
"02141.com","-","69","Nov 28, 2021 9:00:00 PM","Available Soon","Reserve: $1 - $200","Reserve Not Met",
"02142.com","-","69","Dec 5, 2021 9:00:00 PM","Available Soon","Reserve: $1 - $200","Reserve Not Met",
"021514.com","0","277","Dec 10, 2021 12:15:00 PM","Buy It Now","","",
"02151575999.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"021546.com","-","79","Dec 7, 2021 9:00:00 PM","Available Soon","","",
"021605.com","0","277","Dec 11, 2021 12:15:00 PM","Buy It Now","","",
"02160513812.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"021631.com","0","277","Feb 4, 2022 12:15:00 PM","Buy It Now","","",
"021656.com","0","79","Dec 11, 2021 9:00:00 PM","Available Soon","","",
"021735.com","0","277","Apr 19, 2022 12:15:00 PM","Buy It Now","","",
"021780.com","-","79","Dec 10, 2021 9:00:00 PM","Available Soon","","",
"021828.com","-","79","Dec 7, 2021 9:00:00 PM","Available Soon","","",
"021838.com","-","79","Dec 7, 2021 9:00:00 PM","Available Soon","","",
"021884.com","0","377","Jul 22, 2022 12:15:00 PM","Buy It Now","","",
"021963.com","0","79","Dec 12, 2021 9:00:00 PM","Available Soon","","",
"021977.com","-","79","Dec 5, 2021 9:00:00 PM","Available Soon","","",
"021aa.com","0","79","Dec 5, 2021 9:00:00 PM","Available Soon","","",
"021agmote.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"021apparels.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"021apps.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"021arena.com","0","277","Jan 18, 2022 12:15:00 PM","Buy It Now","","",
"021autohome.com","0","79","Dec 18, 2021 9:00:00 PM","Available Soon","","",
"021bus.net","0","79","Dec 9, 2021 9:00:00 PM","Available Soon","","",
"021cdn.com","0","79","Dec 3, 2021 9:00:00 PM","Available Soon","","",
"021cgp.com","0","79","Dec 5, 2021 9:00:00 PM","Available Soon","","",
"021chaiqiang.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"021cjsc.com","0","79","Nov 28, 2021 9:00:00 PM","Available Soon","","",
"021cool.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"021csf.com","0","79","Dec 2, 2021 9:00:00 PM","Available Soon","","",
"021csyy.com","0","277","Dec 12, 2021 12:15:00 PM","Buy It Now","","",
"021cxzc.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"021dayin.com","0","79","Dec 5, 2021 9:00:00 PM","Available Soon","","",
"021eto.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"021falv.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"021fdzz.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"021foton.com","0","79","Dec 4, 2021 9:00:00 PM","Available Soon","","",
"021gameonline.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"021gamers.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"021gaming.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"021genzhuang.com","0","79","Nov 29, 2021 9:00:00 PM","Available Soon","","",
"021geyin.com","0","79","Dec 10, 2021 9:00:00 PM","Available Soon","","",
"021gsyy.com","0","79","Dec 5, 2021 9:00:00 PM","Available Soon","","",
"021haimian.com","0","79","Dec 7, 2021 9:00:00 PM","Available Soon","","",
"021haoyao.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"021houyi.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"021hr.net","0","79","Nov 30, 2021 9:00:00 PM","Available Soon","","",
"021hualong.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
